Name,Autor,Review,Review qntd,Format,Price
"Statistics, Data Mining, and Machine Learning in Astronomy: A Practical Python Guide for the Analysis of Survey Data, Updated Edition (Princeton Series in Modern Observational Astronomy)",,5.0 out of 5 stars,9,Hardcover,$79.68
Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,4.0 out of 5 stars,69,Paperback,$65.20
Funny Robotic Machine Learning AI Evolution Robot Premium T-Shirt,,,,,$19.99
Funny Robotic Machine Learning AI Evolution Robot T-Shirt,,,,,$17.99
Robotics Machine Learning AI Evolution Robot Long Sleeve T-Shirt,,5.0 out of 5 stars,,,$24.99
Robotics Machine Learning AI Evolution Robot T-Shirt,,,,,$17.99
Neural Network Machine Learning Premium T-Shirt,,,,,$18.99
Machine Learning Data Science Neural Network T-Shirt,,,,,$17.95
ROBOTICS IS THE BACON OF ENGINEERING Machine Learning T-Shirt,,,,,$14.95
Machine Learning Neural Network T-Shirt,,,,,$17.99
Machine Learning Data Science Neural Network Raglan Baseball Tee,,,,,$23.99
"Toy Hammer w/ Lights, Learning Mode and Music Mode – Baby Hammer Toy Plays 6 Short Kids' Songs, Counts 1-10 w/ Baby, Changes Funny Expressions and Lights Up – for Kids 12 Months and Older",,4.6 out of 5 stars,,,$19.99
Machine Learning Big Data Computer Science Nerd Gift Raglan Baseball Tee,,,,,$26.95
Funny Data Sciene Gift - AI Data Scientist Machine Learning T-Shirt,,,,,$17.99
Data Science: Machine Learning and Statistical Modeling in R: Master machine learning techniques with R to solve Real-World problems and gain valuable insights from your data.,,,,Kindle Edition,$0.00
Graph Representation Learning (Synthesis Lectures on Artificial Intelligence and Machine Learning),,4.1 out of 5 stars,4,Paperback,$59.95
Math for Machine Learning,From,,,Prime Video,$0.99
Genetic Algorithms and Machine Learning for Programmers: Create AI Models and Evolve Solutions (Pragmatic Programmers),,3.9 out of 5 stars,27,Paperback,$34.49
Machine Learning: New and Collected Stories,",",4.5 out of 5 stars,167,Audible Audiobook,$0.00
Machine Learning with Python for Everyone (Addison-Wesley Data & Analytics Series),,4.3 out of 5 stars,22,Paperback,$35.89
"Machine Learning With Python: The Ultimate Guide for Absolute Beginners with Steps to Implement Artificial Neural Networks with Real Examples (Useful Python Tools eg. Anaconda, Jupiter Notebook)",,,,Hardcover,$32.97
Applied Machine Learning,David Forsyth,,,Paperback,$22.99
Gaussian Processes for Machine Learning (Adaptive Computation and Machine Learning series),Carl Edward Rasmussen,4.5 out of 5 stars,32,Hardcover,$50.82
Machine Learning (McGraw-Hill International Editions Computer Science Series),Tom M. Mitchell,4.4 out of 5 stars,96,Paperback,$89.00
"Machine Learning: An Algorithmic Perspective, Second Edition (Chapman & Hall/Crc Machine Learning & Pattern Recognition)",$77.57,4.1 out of 5 stars,51,Hardcover,$28.85
"Machine Learning: Data Management, Model Training, Neural Networks, Machine Learning Algorithms: Naive Bayes Classifier Tutorial",,,,Kindle,$0.00
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning,Valliappa Lakshmanan,4.2 out of 5 stars,47,Paperback,$46.22
"Machine Learning Mathematics: Study Deep Learning Through Data Science: How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining",,4.2 out of 5 stars,48,Audible Audiobook,$0.00
"Fundamentals of Machine Learning for Predictive Data Anayltics (Algorithms, Worked Examples, and Case Studies)",John D. Kelleher,4.6 out of 5 stars,84,Hardcover,
Machine Learning and Artificial Intelligence in Marketing and Sales: Essential Reference for Practitioners and Data Scientists,,,,Kindle,$99.75
An Introduction to Machine Learning,Miroslav Kubat,3.7 out of 5 stars,7,Paperback,$55.36
Machine Learning For Dummies,John Paul Mueller,4.3 out of 5 stars,300,Paperback,$29.99
"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow",Anirudh Koul,4.7 out of 5 stars,84,Paperback,$58.92
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",Chris Fregly,,,Paperback,$66.49
"Applied Machine Learning for Health and Fitness: A Practical Guide to Machine Learning with Deep Vision, Sensors and IoT",Kevin Ashley,4.5 out of 5 stars,5,Paperback,$23.37
